ID,Linguaggi di Programmazione,Framework,Database,Tools,Cloud
16,"Swift,JavaScript","React Native,Flutter,React,Angular,Vue.js","Oracle,MySQL","Swift Package Manager,Xcode,CocoaPods","AWS"
17,"CSS,JavaScript","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
18,"HTML,JavaScript","React,Angular,Vue.js","MySQL,Oracle","npm,Webpack,Visual Studio","Vercel"
19,"PHP,JavaScript","Laravel,WordPress,React,Angular,Vue.js","MySQL,PostgreSQL","Composer,PHP,Homebrew","Heroku"
20,"JavaScript,CSS","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Vercel"
21,"Python,HTML,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
22,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","Netlify"
23,"Bash,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
24,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
25,"C#,JavaScript,HTML,CSS",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
26,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","AWS"
27,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Azure"
28,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","Google Cloud"
29,"PowerShell,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
30,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Heroku"
31,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
32,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
33,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
34,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
35,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Oracle","Swift Package Manager,Xcode,CocoaPods","AWS"
36,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Vercel"
37,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
38,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
39,"TypeScript,JavaScript","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
40,"Bash,Python,JavaScript,CSS","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
41,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
42,"C#,JavaScript,CSS",".NET,React,Angular,Vue.js","MySQL,Oracle","Visual Studio,MSBuild,Chocolatey","AWS"
43,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","Google Cloud"
44,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","AWS"
45,"Go,JavaScript,CSS","React,Vue.js","MariaDB,Redis","Go Modules,Docker,Chocolatey","Heroku"
46,"PowerShell,Python,JavaScript,HTML","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
47,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
48,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
49,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
50,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
51,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
52,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Oracle","Swift Package Manager,Xcode,CocoaPods","AWS"
53,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
54,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
55,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","Heroku"
56,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
57,"Bash,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","Google Cloud"
58,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
59,"C#,JavaScript,CSS",".NET,React,Angular,Vue.js","MySQL,Oracle","Visual Studio,MSBuild,Chocolatey","AWS"
60,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","Heroku"
61,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Cloudflare"
62,"Go,JavaScript,HTML,CSS","React,Vue.js","MariaDB,Redis","Go Modules,Docker,Chocolatey","AWS"
63,"PowerShell,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
64,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Heroku"
65,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
66,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
67,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
68,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
69,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Redis","Swift Package Manager,Xcode,CocoaPods","AWS"
70,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Vercel"
71,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
72,"TypeScript,JavaScript","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","Netlify"
73,"Bash,Python,JavaScript,CSS","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
74,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
75,"C#,JavaScript,HTML,CSS",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
76,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","AWS"
77,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Azure"
78,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","Google Cloud"
79,"PowerShell,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
80,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Heroku"
81,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
82,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
83,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
84,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
85,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Oracle","Swift Package Manager,Xcode,CocoaPods","AWS"
86,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
87,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
88,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","Heroku"
89,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
90,"Bash,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","Google Cloud"
91,"JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Vercel"
92,"Python,JavaScript","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
93,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","Heroku"
94,"Bash,Python","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","Docker"
95,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
96,"C#,JavaScript",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
97,"C++,C,Java","Spring,JavaEE","Oracle,MySQL","GCC,CMake,Cargo","Heroku"
98,"C,C++,JavaScript","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Cloudflare"
99,"Go,JavaScript","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","AWS"
100,"PowerShell,Python","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
101,"Rust,JavaScript","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
102,"Kotlin,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","Heroku"
103,"Ruby,JavaScript","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
104,"Lua,JavaScript","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","Google Cloud"
105,"Dart,JavaScript","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
106,"Swift,JavaScript","React Native,Flutter,React,Angular,Vue.js","Oracle,MySQL","Swift Package Manager,Xcode,CocoaPods","AWS"
107,"CSS,JavaScript","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
108,"HTML,JavaScript","React,Angular,Vue.js","MySQL,Oracle","npm,Webpack,Visual Studio","Vercel"
109,"PHP,JavaScript","Laravel,WordPress,React,Angular,Vue.js","MySQL,PostgreSQL","Composer,PHP,Homebrew","Heroku"
110,"JavaScript,CSS","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Vercel"
111,"Python,HTML,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
112,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","Netlify"
113,"Bash,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
114,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
115,"C#,JavaScript,HTML,CSS",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
116,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","AWS"
117,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Azure"
118,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","Google Cloud"
119,"PowerShell,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
120,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Heroku"
121,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
122,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
123,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
124,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
125,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Redis","Swift Package Manager,Xcode,CocoaPods","AWS"
126,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Vercel"
127,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
128,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
129,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
130,"Bash,Python,JavaScript,CSS","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
131,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
132,"C#,JavaScript,CSS",".NET,React,Angular,Vue.js","MySQL,Oracle","Visual Studio,MSBuild,Chocolatey","AWS"
133,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","Google Cloud"
134,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","AWS"
135,"Go,JavaScript,CSS","React,Vue.js","MariaDB,Redis","Go Modules,Docker,Chocolatey","Heroku"
136,"PowerShell,Python,JavaScript,HTML","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
137,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
138,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
139,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
140,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
141,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
142,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Oracle","Swift Package Manager,Xcode,CocoaPods","AWS"
143,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
144,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
145,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","Heroku"
146,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
147,"Bash,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","Google Cloud"
148,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
149,"C#,JavaScript,HTML,CSS",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
150,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","Heroku"
151,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Azure"
152,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","AWS"
153,"PowerShell,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
154,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
155,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","Heroku"
156,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
157,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
158,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
159,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Oracle","Swift Package Manager,Xcode,CocoaPods","AWS"
160,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
161,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
162,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","Heroku"
163,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
164,"Bash,Python,JavaScript,CSS","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
165,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
166,"C#,JavaScript,CSS",".NET,React,Angular,Vue.js","MySQL,Oracle","Visual Studio,MSBuild,Chocolatey","AWS"
167,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","Google Cloud"
168,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","AWS"
169,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","Heroku"
170,"PowerShell,Python,JavaScript,HTML","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
171,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
172,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
173,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
174,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
175,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
176,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Redis","Swift Package Manager,Xcode,CocoaPods","AWS"
177,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Vercel"
178,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
179,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","AWS"
180,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
181,"Bash,Python,JavaScript","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","Google Cloud"
182,"C#,JavaScript,HTML,CSS",".NET,React,Angular,Vue.js","Microsoft SQL Server,MySQL","Visual Studio,MSBuild,Chocolatey","Azure"
183,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","AWS"
184,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","Azure"
185,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","AWS"
186,"PowerShell,Python,JavaScript,HTML","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
187,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
188,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","Heroku"
189,"Ruby,JavaScript,HTML,CSS","Ruby on Rails,React,Angular,Vue.js","MongoDB,MySQL","RubyGems,Bundler,Homebrew","Heroku"
190,"Lua,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","LuaRocks,CMake,Pacman","AWS"
191,"Dart,JavaScript,HTML,CSS","Flutter,React,Angular,Vue.js","MySQL,PostgreSQL","Flutter,Visual Studio,Chocolatey","Firebase"
192,"Swift,JavaScript,HTML,CSS","React Native,Flutter,React,Angular,Vue.js","MySQL,Redis","Swift Package Manager,Xcode,CocoaPods","AWS"
193,"CSS,JavaScript,HTML","React,Angular,Vue.js","MySQL,PostgreSQL","npm,Webpack,Visual Studio","Netlify"
194,"HTML,CSS,JavaScript","React,Angular,Vue.js","MySQL,Redis","npm,Webpack,Visual Studio","Netlify"
195,"Python,JavaScript,CSS","Django,Flask,NumPy","MongoDB,MySQL","Pip,Homebrew,Composer","Heroku"
196,"TypeScript,JavaScript,CSS","React,Angular,Vue.js","PostgreSQL,MySQL","Yarn,Webpack,CMake","AWS"
197,"Bash,Python,JavaScript,CSS","NumPy,PyTorch,Scikit-Learn","MongoDB,Redis","Docker,Pacman,Homebrew","AWS"
198,"Java,C++,HTML,CSS,JavaScript","Spring,JavaEE,React,Angular,Vue.js","MySQL,Oracle,Microsoft SQL Server","Maven,Gradle,Kubernetes","Azure"
199,"C#,JavaScript,CSS",".NET,React,Angular,Vue.js","MySQL,Oracle","Visual Studio,MSBuild,Chocolatey","AWS"
200,"C++,C,Java,JavaScript","Spring,JavaEE,React,Angular,Vue.js","Oracle,MySQL","GCC,CMake,Cargo","Google Cloud"
201,"C,C++,JavaScript,HTML,CSS","React,Angular,Vue.js","MySQL,Oracle","GCC,CMake,Ansible","AWS"
202,"Go,JavaScript,HTML,CSS","React,Vue.js","Redis,MariaDB","Go Modules,Docker,Chocolatey","Heroku"
203,"PowerShell,Python,JavaScript,HTML","NumPy,PyTorch,Scikit-Learn","MongoDB,MySQL","Powershell,Pacman,Chocolatey","AWS"
204,"Rust,JavaScript,HTML,CSS","React,Vue.js","Elasticsearch,Redis","Cargo,LLVM's Clang,CMake","Google Cloud"
205,"Kotlin,Java,JavaScript,CSS","Spring,JavaEE,React,Angular,Vue.js","PostgreSQL,MySQL","Gradle,Maven,Kotlin","AWS"
